Market,Medium,Month, Rate Card , Discount , Added Value 
Botswana (BWP),Digital,Jan, 25 000 , -   , -   
Botswana (BWP),Print,Jan, 130 246 , 31 341 , -   
Botswana (BWP),OOH,Jan, 202 464 , 73 589 , -   
"Ghana 
(GHS)",Digital,Jan, 29 421 , 11 802 , -   
"Ghana 
(GHS)",Radio,Jan, 602 354 , 420 797 , -   
"Ghana 
(GHS)",Print,Jan, 15 148 , 3 560 , -   
"Ghana 
(GHS)",OOH,Jan, 70 255 , 11 118 , -   
"Kenya
 (KES)",Television,Jan, 1 400 000 , 366 800 , -   
"Kenya
 (KES)",Digital,Jan, 2 352 290 , -   , -   
"Kenya
 (KES)",META,Jan, 389 274 , -   , -   
"Kenya
 (KES)",LinkedIn,Jan, 137 666 , -   , -   
"Kenya
 (KES)",Google Display Network,Jan, 1 807 869 , -   , -   
"Kenya
 (KES)",Programmatic Video,Jan, 17 874 , -   , -   
"Kenya
 (KES)",Radio,Jan, 1 000 000 , 426 000 , 225 000 
"Kenya
 (KES)",DOOH,Jan, 175 000 , 175 000 , -   
"Mauritius 
(MUR)",Television,Jan, 396 600 , 80 480 , 10 000 
"Mauritius 
(MUR)",Digital,Jan, 587 204 , 20 500 , -   
"Mauritius 
(MUR)",LinkedIn,Jan, 1 455 995 ,,
"Mauritius 
(MUR)",Radio,Jan, 649 649 , 164 082 , -   
"Mauritius 
(MUR)",Print,Jan, 121 550 , 28 993 , -   
"Mauritius 
(MUR)",OOH,Jan, 870 699 , 93 250 , -   
"Mauritius 
(MUR)",DOOH,Jan, 236 250 , 47 250 , 88 000 
"Mozambique 
(MZN)",Digital,Jan, 566 630 , -   , -   
"Mozambique 
(MZN)",Print,Jan, 334 172 , 66 834 , -   
"Mozambique 
(MZN)",OOH,Jan, 642 250 , 129 250 , -   
"Mozambique 
(MZN)",DOOH,Jan, 418 000 , 83 600 , -   
"Seychells
(SCR)",Digital,Jan, 24 198 , 4 598 , -   
"Seychells
(SCR)",Radio,Jan, 41 221 , 9 481 , 7 500 
"Seychells
(SCR)",Print,Jan, 5 520 , 1 104 , -   
"Seychells
(SCR)",OOH,Jan, 106 898 , 26 724 , -   
"Seychells
(SCR)",DOOH,Jan, 22 350 , 7 350 , -   
"Uganda 
(UGX)",Television,Jan, 152 000 000 , 96 000 000 , 112 182 727 
"Uganda 
(UGX)",Digital,Jan, 120 000 000 , 120 000 000 , -   
"Uganda 
(UGX)",Radio,Jan, 220 000 000 , 134 000 000 , 233 696 773 
"Uganda 
(UGX)",OOH,Jan, 38 000 000 , 24 000 000 , -   
"Uganda 
(UGX)",DOOH,Jan, 120 000 000 , 59 034 000 , -   
"Zambia 
(ZMW)",Television,Jan, 558 000 , 108 000 , 90 000 
"Zambia 
(ZMW)",Digital,Jan, 30 138 , 5 833 , -   
"Zambia 
(ZMW)",Radio,Jan, 133 920 , 25 920 , -   
"Zambia 
(ZMW)",OOH,Jan, 126 526 , 24 489 , -   
"Zambia 
(ZMW)",DOOH,Jan, -   , -   , 33 412 
Botswana (BWP),Digital,Feb, 25 000 , -   , -   
Botswana (BWP),Print,Feb, 160 113 , 27 798 , -   
Botswana (BWP),OOH,Feb, 101 891 , 7 810 , -   
"Ghana 
(GHS)",Television,Feb, 2 500 , 1 225 , -   
"Ghana 
(GHS)",Digital,Feb, 61 523 , 12 320 , -   
"Ghana 
(GHS)",Radio,Feb, 626 354 , 412 700 , -   
"Ghana 
(GHS)",Print,Feb, 15 148 , 3 560 , -   
"Ghana 
(GHS)",OOH,Feb, 170 206 , 21 517 , -   
"Kenya
 (KES)",Television,Feb, 1 725 000 , 451 950 , -   
"Kenya
 (KES)",Digital,Feb, 4 002 425 , -   , -   
"Kenya
 (KES)",META,Feb, 693 695 , -   , -   
"Kenya
 (KES)",LinkedIn,Feb, 38 090 , -   , -   
"Kenya
 (KES)",Google Display Network,Feb, 892 824 , -   , -   
"Kenya
 (KES)",Programmatic Display,Feb, 361 379 , -   , -   
"Kenya
 (KES)",Influencer,Feb, 2 016 167 , -   , -   
"Kenya
 (KES)",Radio,Feb, 2 300 000 , 1 200 000 , 451 000 
"Kenya
 (KES)",Print,Feb, 536 000 , 137 253 , -   
"Mauritius 
(MUR)",Television,Feb, 232 800 , 69 840 , -   
"Mauritius 
(MUR)",Digital,Feb, 82 970 , -   , -   
"Mauritius 
(MUR)",Radio,Feb, 422 030 , 100 909 , -   
"Mauritius 
(MUR)",Print,Feb, 177 851 , 26 991 , -   
"Mauritius 
(MUR)",OOH,Feb, 1 167 917 , 317 000 , -   
"Mozambique 
(MZN)",Digital,Feb, 681 176 , 681 176 , -   
"Mozambique 
(MZN)",Radio,Feb, 53 116 , 8 944 , -   
"Mozambique 
(MZN)",Print,Feb, 150 128 , -   , 255 497 
"Mozambique 
(MZN)",OOH,Feb, 901 375 , 27 500 , -   
"Mozambique 
(MZN)",DOOH,Feb, 334 172 , 66 834 , -   
"Seychells
(SCR)",Digital,Feb, 27 222 , 5 172 , -   
"Seychells
(SCR)",Radio,Feb, 29 870 , 6 870 , 7 500 
"Seychells
(SCR)",Print,Feb, 15 520 , 3 104 , -   
"Seychells
(SCR)",OOH,Feb, 86 853 , 21 713 , -   
"Seychells
(SCR)",DOOH,Feb, 22 350 , 7 350 , -   
"Tanzania 
(TZS)",Digital,Feb, 2 147 983 , -   , -   
"Tanzania 
(TZS)",Radio,Feb, 26 150 289 , 1 650 289 , -   
"Tanzania 
(TZS)",DOOH,Feb, 4 657 500 , -   , -   
"Uganda 
(UGX)",Television,Feb, 152 000 000 , 96 000 000 , 11 190 173 
"Uganda 
(UGX)",Digital,Feb, 140 000 000 , 74 657 446 , -   
"Uganda 
(UGX)",Radio,Feb, 250 000 000 , 158 800 000 , 361 445 089 
"Uganda 
(UGX)",Print,Feb, 85 000 000 , 37 583 697 , -   
"Uganda 
(UGX)",DOOH,Feb, 38 000 000 , 24 000 000 , -   
"Zambia 
(ZMW)",Television,Feb, 558 000 , 108 000 , 112 500 
"Zambia 
(ZMW)",Radio,Feb, 556 003 , 128 308 , 150 302 
"Zambia 
(ZMW)",Print,Feb, 183 040 , 42 240 , -   
"Zambia 
(ZMW)",OOH,Feb, 363 805 , 70 414 , 73 348 
"Zambia 
(ZMW)",DOOH,Feb, 254 596 , 49 277 , 106 924 
Botswana (BWP),Digital,Mar, 25 000 , -   , -   
Botswana (BWP),OOH,Mar, 95 891 , 11 810 , -   
"Ghana 
(GHS)",Digital,Mar, 126 226 , 43 594 , -   
"Ghana 
(GHS)",Radio,Mar, 836 986 , 549 524 , -   
"Ghana 
(GHS)",Print,Mar, 173 253 , 40 715 , -   
"Ghana 
(GHS)",OOH,Mar, 648 379 , 274 914 , -   
"Kenya
 (KES)",Television,Mar, 575 000 , 150 650 , -   
"Kenya
 (KES)",Digital,Mar, 1 845 542 , -   , -   
"Kenya
 (KES)",META,Mar, 467 154 , -   , -   
"Kenya
 (KES)",LinkedIn,Mar, 558 538 , -   , -   
"Kenya
 (KES)",X,Mar, 134 310 , -   , -   
"Kenya
 (KES)",Google Display Network,Mar, 483 215 , -   , -   
"Kenya
 (KES)",Programmatic Display,Mar, 202 327 , -   , -   
"Kenya
 (KES)",Radio,Mar, 3 800 000 , 1 082 634 , -   
"Kenya
 (KES)",Print,Mar, 2 972 000 , 718 378 , -   
"Kenya
 (KES)",OOH,Mar, 1 690 000 , 240 000 , 900 000 
"Kenya
 (KES)",DOOH,Mar, 1 050 000 , 150 000 , -   
"Mauritius 
(MUR)",Television,Mar, 310 200 , 93 060 , -   
"Mauritius 
(MUR)",Digital,Mar, 936 695 , 9 000 , -   
"Mauritius 
(MUR)",Radio,Mar, 605 409 , 158 715 , -   
"Mauritius 
(MUR)",Print,Mar, 1 239 625 , 356 175 , -   
"Mauritius 
(MUR)",OOH,Mar, 417 345 , 36 068 , -   
"Mauritius 
(MUR)",DOOH,Mar, 285 000 , -   , -   
"Mozambique 
(MZN)",Digital,Mar, 681 176 , -   , 267 948 
"Mozambique 
(MZN)",Print,Mar, 150 128 , -   , 515 111 
"Mozambique 
(MZN)",OOH,Mar, 1 062 237 , -   , 844 358 
"Mozambique 
(MZN)",DOOH,Mar, 338 021 , -   , 460 266 
"Seychells
(SCR)",Digital,Mar, 67 407 , 12 807 , -   
"Seychells
(SCR)",Radio,Mar, 29 870 , 6 870 , 7 500 
"Seychells
(SCR)",Print,Mar, 20 520 , 4 104 , -   
"Seychells
(SCR)",OOH,Mar, 81 520 , 20 380 , -   
"Seychells
(SCR)",DOOH,Mar, 22 350 , 7 350 , -   
"Tanzania 
(TZS)",Digital,Mar, 9 817 631 , -   , -   
"Tanzania 
(TZS)",Radio,Mar, 29 534 436 , 5 034 436 , -   
"Tanzania 
(TZS)",DOOH,Mar, 28 070 000 , -   , 10 930 000 
"Uganda 
(UGX)",Television,Mar, 225 000 000 , 145 000 000 , 223 689 744 
"Uganda 
(UGX)",Digital,Mar, 140 000 000 , 126 072 , -   
"Uganda 
(UGX)",Radio,Mar, 275 000 000 , 181 648 000 , 453 645 414 
"Uganda 
(UGX)",Print,Mar, 85 000 000 , 66 048 564 , -   
"Uganda 
(UGX)",DOOH,Mar, 38 000 000 , 24 000 000 , -   
"Zambia 
(ZMW)",Television,Mar, 558 000 , 108 000 , 118 000 
"Zambia 
(ZMW)",Digital,Mar, 143 446 , -   , 20 000 
"Zambia 
(ZMW)",Radio,Mar, 620 003 , 143 078 , -   
"Zambia 
(ZMW)",Print,Mar, 67 000 , -   , -   
"Zambia 
(ZMW)",OOH,Mar, 470 229 , 91 012 , 48 000 
"Zambia 
(ZMW)",DOOH,Mar, 254 596 , 49 277 , 112 112 
Botswana (BWP),Digital,Apr, 25 000 , -   , -   
Botswana (BWP),Print,Apr, 95 891 , 9 081 , -   
Botswana (BWP),OOH,Apr, 72 206 , 11 910 , -   
Botswana (BWP),DOOH,Apr, 71 340 , 6 000 , -   
"Ghana 
(GHS)",Television,Apr, 87 344 , 47 214 , -   
"Ghana 
(GHS)",Digital,Apr, 85 311 , -   , -   
"Ghana 
(GHS)",Radio,Apr, 962 896 , 596 247 , -   
"Ghana 
(GHS)",Print,Apr, 142 135 , 33 402 , -   
"Ghana 
(GHS)",OOH,Apr, 684 372 , 294 167 , -   
"Kenya
 (KES)",Digital,Apr, 1 101 983 , -   , -   
"Kenya
 (KES)",META,Apr, 77 209 , -   , -   
"Kenya
 (KES)",X,Apr, 27 991 , -   , -   
"Kenya
 (KES)",Google Display Network,Apr, 469 506 , -   , -   
"Kenya
 (KES)",Programmatic Display,Apr, 527 277 , -   , -   
"Kenya
 (KES)",Print,Apr, 3 283 000 , 780 631 , -   
"Kenya
 (KES)",OOH,Apr, 1 690 000 , 240 000 , -   
"Mauritius 
(MUR)",Digital,Apr, 406 839 , -   , -   
"Mauritius 
(MUR)",Radio,Apr, 338 868 , 70 508 , -   
"Mauritius 
(MUR)",Print,Apr, 608 024 , 393 606 , -   
"Mauritius 
(MUR)",OOH,Apr, 323 745 , 64 749 , -   
"Mauritius 
(MUR)",DOOH,Apr, 741 875 , 91 375 , -   
"Mozambique 
(MZN)",Digital,Apr, 949 124 , -   , -   
"Mozambique 
(MZN)",Print,Apr, 464 663 , 77 444 , -   
"Mozambique 
(MZN)",OOH,Apr, 1 906 595 , 317 766 , -   
"Mozambique 
(MZN)",DOOH,Apr, 798 287 , 133 048 , -   
"Seychells
(SCR)",Digital,Apr, 37 383 , 7 103 , -   
"Seychells
(SCR)",Radio,Apr, 47 554 , 10 937 , 11 050 
"Seychells
(SCR)",Print,Apr, 7 705 , 1 541 , -   
"Seychells
(SCR)",OOH,Apr, 79 627 , 19 907 , -   
"Seychells
(SCR)",DOOH,Apr, 58 474 , 19 230 , -   
"Tanzania 
(TZS)",Digital,Apr, 9 817 631 , -   , -   
"Tanzania 
(TZS)",Radio,Apr, 27 800 000 , -   , -   
"Tanzania 
(TZS)",Print,Apr, 11 606 500 , -   , -   
"Tanzania 
(TZS)",DOOH,Apr, 20 477 500 , -   , -   
"Uganda 
(UGX)",Television,Apr, 225 000 000 , 169 000 000 , 118 951 860 
"Uganda 
(UGX)",Digital,Apr, 84 239 909 , -   , -   
"Uganda 
(UGX)",Radio,Apr, 275 000 000 , 187 300 000 , 369 952 944 
"Uganda 
(UGX)",Print,Apr, 85 000 000 , 78 247 792 , -   
"Uganda 
(UGX)",DOOH,Apr, 38 000 000 , 24 000 000 , -   
"Zambia 
(ZMW)",Television,Apr, 558 000 , 108 000 , 118 000 
"Zambia 
(ZMW)",Digital,Apr, 210 300 ,, 15 129 
"Zambia 
(ZMW)",Radio,Apr, 556 003 , 128 308 , 212 009 
"Zambia 
(ZMW)",Print,Apr, 134 000 ,, -   
"Zambia 
(ZMW)",OOH,Apr, 261 487 , 50 610 , 48 000 
"Zambia 
(ZMW)",DOOH,Apr, 254 596 , 49 277 , 112 112 
Botswana (BWP),Digital,May, 75 000 , -   , -   
Botswana (BWP),Print,May, 117 694 , 20 987 , -   
Botswana (BWP),DOOH,May, 117 021 , 21 857 , -   
"Ghana 
(GHS)",Television,May, 37 758 , 26 740 , -   
"Ghana 
(GHS)",Digital,May, 35 843 , -   , -   
"Ghana 
(GHS)",Radio,May, 824 427 , 557 293 , -   
"Ghana 
(GHS)",Print,May, 96 309 , 22 071 , -   
"Ghana 
(GHS)",OOH,May, 634 372 , 274 167 , -   
"Kenya
 (KES)",Digital,May, 1 014 394 , -   , -   
"Kenya
 (KES)",META,May, 74 134 , -   , -   
"Kenya
 (KES)",X,May, 43 355 , -   , -   
"Kenya
 (KES)",Google Display Network,May, 593 749 , -   , -   
"Kenya
 (KES)",Programmatic Display,May, 303 156 , -   , -   
"Kenya
 (KES)",OOH,May, 1 430 000 , 220 000 , -   
"Mauritius 
(MUR)",Digital,May, 406 839 , -   , -   
"Mauritius 
(MUR)",Radio,May, 338 868 , 70 508 , -   
"Mauritius 
(MUR)",Print,May, 608 024 , 393 606 , -   
"Mauritius 
(MUR)",OOH,May, 323 745 , 64 749 , -   
"Mauritius 
(MUR)",DOOH,May, 741 875 , 91 375 , -   
"Mozambique 
(MZN)",Digital,May, 663 617 , -   , -   
"Mozambique 
(MZN)",Radio,May, 271 573 , 45 262 , -   
"Mozambique 
(MZN)",Print,May, 381 358 , 63 560 , -   
"Mozambique 
(MZN)",OOH,May, 1 906 595 , 317 766 , -   
